id,title,authors,venue,year
0,11578 sorrento valley road,qd inc,"san diego ,",
1,initiation of crazes in polystyrene,"as argon , jg hannoosh","phil . mag ,",
2,immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase n in,"gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n","the histochemical journal ,",1992.0
3,the burden of infectious disease among inmates and releasees from correctional facilities,"tm hammett , p harmon , w rhodes",see,
4,the role of faculty advising in science and engineering,jr cogdell,"new directions for teaching and learning ,",1995.0
5,the zero multiplicity of linear recurrence sequences,wm schmidt,to,
6,predicitve validity of kindergarten screeners for young children with reading difficulties,ra haats,,2002.0
7,the photosynthetic reaction center,"jr norris , j deisenhofer","san diego : academic ,",
8,"f. , diene , aw , ndiaye , y. hachage linã © aire scalable et distribuã © lh * lh sous windows nt",f bennour,"res . rep. ceria , u. paris ,",
9,multidimensional similarity structure analysis,"i borg , jc lingoes",,1987.0
10,linear algebra and its applications harcourt brace jovanovich,g strang,"san diego ,",
11,"ded. , d. roncagliolo y u. velarde ( 1997 ) interactions and independence in stated preference",j ortãºzar,proceedings of the 25 theuropean transport,
12,stereochemical applications of gas-phase electron diffraction,"k kuchitsu , m nakata , s yamamoto , i hargittai , m","hargittai ,",
13,obtaining complete answers from incomplete databases,ay levy,"proceedings of the international conference on very large & hellip ; ,",1996.0
14,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",proceedings of the very large data bases conference ( vldb ;,
15,classical topology and combinatorial group theory,j stillwell,,1995.0
16,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",,
17,progress through ich toward harmonization of genetic toxicology testing practices for,gs probst,"seattle , washington dc ,",
18,pain and leg ulceration associated with reduced abpi and atropie blanche,d hofman,"proceedings of the 2 nd meeting on measurements in wound & hellip ; ,",1998.0
19,recognita plus : ocr with strength in hardware,b simon,"pc magazine ( 10 ) ,",
20,the family transition program : implementation and interim impacts of floridaâ ?? s initial time -,"d bloom , m farrell , jj kemple , n verma",,
21,world population prospects : the 1996 revision,u nations,"new york ,",
22,the racing algorithm : model selection for lazy learners,"o maron , aw moore","artificial intelligence review ,",1997.0
23,survival skills for graduate school and beyond,"ba fischer , mj zigmond","new directions for higher education ,",1998.0
24,consequences of migration and remittances for mexican transnational communities .,"d conway , jh cohen","economic geography ,",1998.0
25,too much middleware,m stonebraker,"sigmod record ,",2002.0
26,a correctness proof for a practical byzantine-fault-tolerant replication algorithm . technical memo,"m castro , b liskov",,1999.0
27,on a stochastic optimization algorithm using ipa which updates after every customer,"ekp chong , pj ramadge","proc . 28th allerton conf . on communication , control , and & hellip ; ,",
28,flight to objectivity : essays on cartesianism and culture,s bordo,,
29,capturing design rationale in concurrent engineering teams,m klein,,
30,chromosome banding in x-linked mental retardation,c fonatsch,"lancet i ,",
31,wanted : true believers,f hayes,"computerworld ,",
32,multirate analog-digital systems for signal processing and conversion,"j franca , a petraglia , sk mitra","proceedings of the ieee ,",1997.0
33,an empirical review of price behaviour on the internet,h riquelme,"electronic markets ,",2001.0
34,"psm : software tool for simulating , prototyping , and monitoring of multiprocessor systems","a stafylopatis , i papakonstantinou , s kaxiras","information and software technology ,",1992.0
35,electrocardiographic manifestations : patterns that confound the ekg diagnosis of acute myocardial,"wj brady , tc chan , m pollack","journal of emergency medicine ,",2000.0
36,learning with kernels [ ph. d. thesis ],aj smola,"technical university of berlin ,",
37,caldwell,"p consultants , b pc","& hellip ; for comparison of supplemental technology demonstration & hellip ; ,",
38,data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl,"m franklin , s zdonik","conference on management of data , seattle , wa , june ,",
39,"service specification and protocol construction for a layered architecture , university of maryland",sl murphy,"md ,",
40,foot orthoses . . williams & wilkins : baltimore,kk wu,"md ,",
41,tools for statistical inference,ma tanner,,1993.0
42,temperatures necessary to kill fungi in wood,s chidester,"proceedings of the 23rd annual meeting of the american wood - & hellip ; ,",
43,modeling and analysis of a traveling wave tube under multitone excitation,jg wohlbier,,2000.0
44,lohman . gm r * optimizer validation and performance evaluation for local queries,lf mackert,"proceedings of sigmodâ ?? 86 . washington . may ,",
45,load balancing in dynamic structured p2p systems,ssy patel,,
46,virtual communities of transaction : the role of personalization in electronic commerce,p schubert,"electronic markets ,",2000.0
47,unitary representations realized in l 2-sections of vector bundles over semi-simple symmetric spaces,t kobayashi,proc . of the 27-28th symp . of funct . anal . and real anal . (,
48,dimethyl ether ( dme ) spray characteristics in a common-rail fuel injection system .,j yu,"proceedings of the institution of mechanical engineers d , & hellip ; ,",2003.0
49,"crypt breakerâ ?? s workbench users manual , ''",rw baldwin,"mit laboratory for computer science ( october 1986 ) , unpublished",
50,nasal continuous positive airways pressure immediately after extubation for preventing morbidity in,"pg davis , dj henderson-smart","cochrane database syst rev ,",2000.0
51,"mentoring undergraduate minority students : an overview , survey , and model program","mc terrell , rk hassell","new directions for teaching and learning ,",1994.0
52,optimally sparse representations in general dictionaries by l 1 minimization,"d donoho , m elad","technical report , statistics department , stanford university ,",
53,tunning red for web traffic,"m christiansen , k jeffay , d ott , fd smith",proc .,
54,a sigma ~ 3 type condition for heavy cycles in weighted graphs,"s zhang , x li , h broersma","discussiones mathematicae graph theory ,",2001.0
55,"qualitative â ?? â ?? versusâ ?? â ?? quantitative methods in social research , dept of sociology , u",t wilson,"california at santa barbara ,",
56,the art of deliberalizing : a handbook for the true professional .,wc booth,"new directions for teaching and learning ,",1990.0
57,"ã cents â ? ¬ å?conflict detection tradeoffs for replicated data , ã cents â ? ¬ â ?","jm carey , m livny",acm,
58,internal and external motivation to respond without prejudice,"e ashby plant , pg devine","journal of personality and social psychology ,",1998.0
59,white christmas could become dream .,w brandel,"computerworld. ,",1989.0
60,virtual reality : through the new looking glass,"k pimentel , k teixeira",,1993.0
61,"biological data management : research , practice and opportunities",t topaloglou,"proceedings of the international conference on very large & hellip ; ,",2004.0
62,myocardial infarction and the emotional climate,"ah crisp , m queenan , mf d'souzaâ ? ¦","lancet , i ,",1984.0
63,"a resource for your cosmetology career , 2000 edition",s fundamentals,,
64,on the nature of continental shelves : academic press,jj walsh,"san diego ,",
65,detection of change-points in nonparametric regression,pl speckman,"unpublished manuscript ,",1994.0
66,measuring the light regime under vegetation .,ca federer,,1964.0
67,predicting the benefits of information retrieval techniques,a arnt,,
68,"visualization , optimization , and business strategy","dl gresh , ei kelton","d. gresh , e. kelton , proceedings , ieee visualization ,",
69,the defect structure and mechanical properties of spinel single crystals,mh lewis,"phil . mag ,",
70,real-time networking for the implementation of cim,"lr lin , hp huang",proc . int . conf . automation,
71,progress in the development of large area sub-millimeter resolution cdznte strip detectors,"jr macri , dv boykin , k larson , m mayer , ml","proc . spie ,",1996.0
72,convergent stakeholder theory,"tm jones , ac wicks","the academy of management review ,",1999.0
73,hierarchical grouping in artificial intelligence . aaai spring symposium on artificial intelligence,m mortimer,,2000.0
74,students in learning groups : active learning through conversation,"c bouton , ry garth","learning in groups , new directions for teaching and",
75,hierarchical and variation geometric modeling with wavelets . in proceedings of the 1995 symposium on,"sj gortler , mf cohen",,1995.0
76,"process specification language : an analysis of existing representations , nistir 6160 , national","a knutilla , c schlenoff , s ray , st polyak , a tate ,","md ,",
77,new chance : implementing a comprehensive program for teenage parents and their children,"j quint , b fink , s rowser",,1991.0
78,adding some spice to csi curricula,"g holmes , tc smith","proceedings of szgcse â ?? 97 ,",1997.0
79,hardware and system architecture for a very large database,"r healey , b heckman","vldb ,",1975.0
80,genetic-algorithm programming environments,"jlr filho , pc treleaven , c alippi",,
81,interactive med . 3d-simulations by means of stereoscopy and standard hardware,"h wã ¶ rn , j mã 1/4 hlingâ ? ¦","rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi ,",
82,"semantics , pragmatics , and second language acquisition : the case of combien extractions","l dekydtspotter , ra sprouse , k swanson , r thyre","proceedings of the 23rd annual boston university conference & hellip ; ,",
83,"coauthors , 2003 : european temperature variability over the last 500 years , uncertainties , extremes",j luterbacher,,
84,understandittg activex and ole,d chappell,,
85,"object , message , and performance : how they coexist in self","d ungar , rb smith , c chambers",,
86,lisp .,vr pratt,,1977.0
87,"stevens ce , harley ej , zang ea , oleszko wr , william dc , et al",w szmuness,"hepatitis b vaccine : demonstration of efficacy in a & hellip ; ,",
88,sybase iq multiplex-designed for analytics,"r macnicol , b french",,
89,characterizing the effects of clock jitter due to substrate noise in discrete-time 1 = 6 modulators,p heydari,"proc . ieee/acm design automation conf ,",
90,algebraic attacks on combiners with memory,"f armknecht , m krause",,
91,congenital diaphragmatic hernia-morgagni type,"l sinclair , bl klein","journal of emergency medicine ,",1993.0
92,acquiring student feedback that improves instruction .,hg murray,"new directions for teaching and learning ,",1987.0
93,drafter : an interactive support tool for writing multilingual instructions,"c paris , k vander linden",,
94,bill 1989â ?? select committee,p offences,,
95,new developments in laser resonators,ae siegman,,1990.0
96,on modelling behavloural semantics of data,m brodm,"proc 7th int &#39; l conf vldb ,",
97,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,",2003.0
98,a quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"dm webber , ip braidman , wr robertson , dc anderson","the histochemical journal ,",1988.0
99,what are the national regimes and local traditions of social welfare and their historical derivation,r greca,,1995.0
100,gastroenteritis due to kanagawa negative vibrio parahaemolyticus,", i goto , i minematsu , n ikeda , n asano , m","lancet i ,",1987.0
101,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","proceedings of the 1997acm-sigmod conference ,",
102,efficient numerical error bounding for replicated network services,hy aminvahdat,"technical report cs-2000-08 , computer science department , duke",
103,unsupervised image segmentation by stochastic reconstruction,"v metzler , r vandenhouten , j krone , r grebe",,
104,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
105,vision-based pedestrian detection : will ants help ?,"m bertozzi , a broggi , a fascioli",,
106,evaluating administrators .,dp hoyt,"new directions for higher education ,",1982.0
107,initial results from the euv engineering test stand,"d tichenor , a ray-chaudhuri , s lee , h chapman , w",,
108,information gathering in the world wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli","acm transactions on database systems ,",1998.0
109,on the design of a distributed query processing algorithm,"ct yu , c chang , m templeton , d brill , e lund",proceedings of the acm-sigmod international conference on,
110,"babel : a testbed for research in origins of language , 1998",a mcintyre,submitted for,
111,observations of frontal zone structures with a vhf doppler radar and radiosondes,"mf larsen , j roettger","conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0
112,"when gulliver travels : social context , psychological closeness , and self-appraisals","jd brown , nj novick , ka lord , jm richards","journal of personality and social psychology ,",
113,list of acronyms,anxan exchange,"bt technology journal ,",2001.0
114,"survey of job shop scheduling techniques , nistir , national institute of standards and technology ,","a jones , lc rabelo","md ,",
115,energy conservation 2000 mayville and horicon : a study of a community-based program,"b neal , c sabo","wisconsin demand-side demonstration , april ,",
116,"heated , humidified air for the common cold",m singh,"cochrane database syst rev ,",2000.0
117,code compression,"j ernst , w evans , cw fraser , ta proebsting , s","proceedings of the acm sigplan 1997 conference on & hellip ; ,",1997.0
118,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton","proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",
119,cost effective dynamic program slicing,"x zhang , r gupta",,
120,pan-browser support for annotations and other meta-information on the world wide web,"ma schickler , ms mazer , c brooks","www5 / computer networks ,",1996.0
121,how coping mediates the effect of optimism on distress : a study of women with early stage breast,"cs carver , c pozo , sd harris , v noriegaâ ? ¦","journal of personality and social psychology ,",1993.0
122,aspects of disc brake judder,h jacobsson,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2003.0
123,getting started : informal small-group strategies in large classes,"jl cooper , p robinson","new directions for teaching and learning ,",2000.0
124,thread-local heaps for java,"t domani , g goldshtein , ek kolodner , e lewis , e",,
125,revisiting scholarship,c kreberâ ? ¦,"new directions for teaching and learning , no ,",
126,roussopoulos . performanceandscalabilityofclient-server database architecture,a delisandn,,1992.0
127,scalable session messages in srm using self-configuration,"p sharma , d estrin , s floyd , l zhang",,
128,"reyes , de los , guillermo",p revere,,
129,transputer implementation of kalman filters,"lp maguire , gw irwin",,
130,waiting times for stationary processes,"i kontoyiannis , a recurrence","technical report no. 92 , stanford university , july",
131,jade : jabber-based authoring in distributed environments,"a roczniak , a el saddik","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
132,a finite element method for the dynamic analysis of automatic transmission gear shifting with a four,"n zhang , a crowther , dk liu , j jeyakumaran",,
133,"hermes : a heterogeneous reasoning and mediator system , 1994","vs subrahmanian , s adali , a brink , r emery , jl lu ,",submitted for,
134,proposed air force guidelines for successfully supporting the intrinsic remediation ( natural,"th wiedemeier , jt wilson , dh kampbell , rn miller","proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; ,",
135,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang","proceedings of acm-sigmod international conference on & hellip ; ,",1998.0
136,"integration of teaching and research : myth , reality , and possibility",m weimer,"new directions for teaching and learning ,",1997.0
137,a value-added model for electronic commerce,to ` daniel,"electronic markets ,",
138,photoprotection by carotenoids,mm mathews-roth,"fed proc ,",1987.0
139,prehospital cardiac arrest survival and neurologic recovery,"m hillis , d sinclair , g butler , e cain","journal of emergency medicine ,",1993.0
140,inside visual c++,jk david,,1996.0
141,preferential treatment for short flows to reduce web latency,"x chen , j heidemann","computer networks ,",2003.0
142,instrumental stakeholder theory : a synthesis of ethics and economics,tm jones,"the academy of management review ,",1995.0
143,curves and surfaces in computer aided geometric design,g farin,,
144,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦,"proc of the 22nd vldb conf ,",
145,"assessment , enhancement , and verification determinants of the self-evaluation process",c sedikides,"journal of personality and social psychology ,",1993.0
146,the velocity of sound below 1 k,"kr atkins , dv osborne","phil . mag ,",
147,"dye standards , part i : terminology and general principles","h lyon , e schulte , a de leenheer , s lewis , v","the histochemical journal ,",1992.0
