id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
0,Saxophone Stomp [ Explicit ],Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:20,"September 16 , 2014"
1,I Wan na Mingle [ feat . Pusher ],Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,2:36,"September 16 , 2014"
2,Lytah,Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:48,"September 16 , 2014"
3,Slappy Pappy,Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:55,"September 16 , 2014"
4,Fushion Jam,Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,1:48,"September 16 , 2014"
5,Vaminos,Rusko,! ( Volume 2 ) [ Explicit ],"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,2:57,"September 16 , 2014"
6,! AKing of Pop Moon Walk Man,! Creekside,! AKing of Pop Moon Walk Man,"Dance & Electronic , Pop",$ 0.99,2010 ! Creekside,3:40,"November 11 , 2010"
7,Like A Boss,Rusko,!,"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:55,"July 29 , 2014"
8,Sunshower,Rusko,!,"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,4:06,"July 29 , 2014"
9,My Style,Rusko,!,"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:41,"July 29 , 2014"
10,Happy Chords,Rusko,!,"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:33,"July 29 , 2014"
11,Rusko Theme,Rusko,!,"Dance & Electronic , Dubstep",$ 1.29,( C ) 2014 FMLY Under Exclusive License To Universal Music Canada Inc.,3:06,"July 29 , 2014"
12,Cuando Salgo A Los Campos,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:36,"February 9 , 2011"
13,El Buke De Mas Potencia,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:52,"February 9 , 2011"
14,Te He Prometido,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,2:47,"February 9 , 2011"
15,Corazon Malo,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:21,"February 9 , 2011"
16,Corazon De Texas,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:44,"February 9 , 2011"
17,La Entalladita,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:11,"February 9 , 2011"
18,Toca El Saxo,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:30,"February 9 , 2011"
19,Cruz De Olvido,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:19,"February 9 , 2011"
20,El Borrachito,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:29,"February 9 , 2011"
21,Anabel,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:05,"February 9 , 2011"
22,Ya Te Vi,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:57,"February 9 , 2011"
23,El Farolito,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:20,"February 9 , 2011"
24,Tatuajes,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,3:44,"February 9 , 2011"
