side,refs,reference_title,predicted_entity_id,predicted_title
missing_reference_cluster,table1:0|table2:1878,clickart 950 000 premier image pack ( dvd-rom ),,
missing_reference_cluster,table1:10|table2:1953,paper art : gift wrapping,,
missing_reference_cluster,table1:1001|table2:2373,printmaster 17 platinum by encore software,,
missing_reference_cluster,table1:1002|table2:802,genuine fractals genuine fractals print pro 1u,,
missing_reference_cluster,table1:1003|table2:806,logic pro 6,,
missing_reference_cluster,table1:1004|table2:794,professor teaches excel & word,,
missing_reference_cluster,table1:1005|table2:2363,sibelius 4 educational edition,,
missing_reference_cluster,table1:1006|table2:796,terror strike,,
missing_reference_cluster,table1:1007|table2:815,wisdom of the bible holy land edition,,
missing_reference_cluster,table1:1008|table2:1534,norton internet security 2008 10 user,,
missing_reference_cluster,table1:1009|table2:817,test and improve your memory ( dvd box ),,
missing_reference_cluster,table1:101|table2:1670,atari arcade classics ( mac ),,
missing_reference_cluster,table1:1010|table2:2379,roxio easy media creator 9,,
missing_reference_cluster,table1:1011|table2:807,logic pro 6 upgrade from logic platinum/gold 5 & 6,,
missing_reference_cluster,table1:1012|table2:813,reel deal slots 2.0 for pc,,
missing_reference_cluster,table1:1014|table2:2835,elementary advantage 2008,,
missing_reference_cluster,table1:1014|table2:773,elementary advantage 2008,,
missing_reference_cluster,table1:1016|table2:780,math success deluxe 2007,,
missing_reference_cluster,table1:1018|table2:771,wheel of fortune deluxe,,
missing_reference_cluster,table1:1019|table2:2383,neuratron photoscore professional 4,,
missing_reference_cluster,table1:102,myinvoices & estimates deluxe,,
missing_reference_cluster,table1:1020|table2:772,elementary school advantage 2007,,
missing_reference_cluster,table1:1021|table2:791,resumemaker professional 12.0,,
missing_reference_cluster,table1:1022|table2:793,panda internet security 2007 3-user,,
missing_reference_cluster,table1:1023|table2:786,aquarium 3 in 1 collection limited edition for win/mac,,
missing_reference_cluster,table1:1024|table2:2421,punch super home suite 3.0,,
missing_reference_cluster,table1:1024|table2:2435,punch super home suite 3.0,,
missing_reference_cluster,table1:1024|table2:2438,punch super home suite 3.0,,
missing_reference_cluster,table1:1024|table2:2936,punch super home suite 3.0,,
