entity_id,title,manufacturer,price,source_A_id,source_B_id
DN2-00001,clickart 950 000 - premier image pack (dvd-rom),broderbund,48.95,0,1833
DN2-00002,noah's ark activity center (jewel case ages 3-8),victory multimedia,9.95,2,1836
DN2-00003,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99,3,1834
DN2-00004,singing coach unlimited,carry-a-tune technologies,99.99,4,1860
DN2-00005,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,6,1877
DN2-00006,mia's math adventure: just in time,kutoka,19.99,8,1890
DN2-00007,disney's 1st & 2nd grade bundle (pixar 1st grade secret keys and aladdin reading quest),disney,14.99,9,1882
DN2-00008,paper art: gift wrapping,arc media inc.,6.95,10,1906
DN2-00009,spy sweeper spanish,webroot software,29.95,13,1918
DN2-00010,omnioutliner professional 3.0,csdc,69.95,15,1922
DN2-00011,upg sgms 1000 incremental node,sonic systems inc.,62920.89,17,1936
DN2-00012,the human body,topics entertainment,19.99,18,1192
DN2-00013,school zone pencil-pal software big phonics (cd-rom & book),school zone interactive,17.9,19,1213
DN2-00014,millie's math house ages 3-7 (win/mac),ibm (aap misc parts),9.9,20,1217
DN2-00015,world book encyclopedia 2006,topics entertainment,19.99,21,1403
DN2-00016,musicalis guitar workshop,global software publishing,9.99,22,1404
DN2-00017,the printshop 20 professional publisher,broderbund,69.99,23,1406
DN2-00018,data protection suite,stomp inc,69.99,24,1408
DN2-00019,kids power fun for girls,topics entertainment,19.99,25,1413
DN2-00020,adobe premiere pro cs3 upgrade,adobe,299,26,371
DN2-00021,i copy dvds 2 professional edition,me too software,69.99,27,1415
DN2-00022,gen-x media made easy vol. 3,gen-x,49.95,28,1951
DN2-00023,family tree maker 11.2 collector's edition,encore,109.95,29,1953
DN2-00024,adobe fireworks cs3 [mac],adobe,299,30,426
DN2-00025,dinosaurs,topics entertainment,19.99,31,1956
DN2-00026,instant home design 3.0 [lb],topics entertainment,19.99,32,1958
DN2-00027,x-oom internet movies 2,x-oom,22.9,33,1978
DN2-00028,form workshop 1200,valusoft,29.99,34,1990
DN2-00029,the print shop pro publisher 22 deluxe [dvd],encore,99.99,35,1988
DN2-00030,stomp inc recover lost data 2005,stomp inc,39.95,36,1986
DN2-00031,my first bible stories,dorling kindersley multimedia (dk),29.95,37,1980
DN2-00032,the big mix (mac),aladdin,59.99,38,2007
DN2-00033,x-oom movie clone 3 gold,x-oom,22.9,39,2001
DN2-00034,the print shop 22 deluxe,encore,49.99,40,1999
DN2-00035,imsi turbocad designer v.11,imsi,39.99,41,1992
DN2-00036,lavasoft ad-aware plus edition,tri synergy,29.99,42,2017
DN2-00037,instant immersion language lab deluxe edition,topics entertainment,14.9,44,2011
DN2-00038,elementary school success deluxe 2006,topics entertainment,49.99,45,2009
DN2-00039,national geographic presents: redshift planetarium,topics entertainment,29.99,46,2027
DN2-00040,math success deluxe 2006,topics entertainment,49.99,47,2025
DN2-00041,national geographic presents: forces of nature,topics entertainment,29.99,48,2023
DN2-00042,reference success deluxe 2006,topics entertainment,49.95,49,2021
DN2-00043,clifford the big red dog - thinking adventures,scholastic,9.99,50,2039
DN2-00044,mastercook deluxe low carb,valusoft,14.99,51,2041
DN2-00045,boomerang webshop platinum,boomerang,36.9,53,2033
DN2-00046,allume boost xp for windows,smith micro software,29.99,54,2051
DN2-00047,kids power fun for little ones,topics entertainment,19.99,56,2048
DN2-00048,museums of the world,topics entertainment,19.99,57,2049
DN2-00049,matchbox cross-town heroes,thq,19.99,58,2061
DN2-00050,studyworks! teaching pro: middle school math & science (win/mac),global software publishing,29.99,59,2066
DN2-00051,trudy's time and place house ages 3-6,ibm,9.9,60,2054
DN2-00052,personal image manager,smith micro software,29.99,61,2059
DN2-00053,stomp inc drive washer,stomp inc,24.99,62,2074
DN2-00054,movies on psp,x-oom,15.9,63,2076
DN2-00055,kids power fun for kids,topics entertainment,19.99,64,2068
DN2-00056,custom landdesigner 3d design 7.0,sierra on-line,12.9,65,2072
DN2-00057,freddi fish 2: the haunted schoolhouse,humongous entertainment,29.95,66,1534
DN2-00058,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,889.99,68,1538
DN2-00059,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95,69,1536
DN2-00060,midway arcade treasures (jewel case),encore software,9.99,72,1527
DN2-00061,snap! 10 000 drink recipies (jewel case),topics entertainment,4.99,73,1525
DN2-00062,mac os x server v10.4.7 10-client,apple,499,74,1558
DN2-00063,age of mythology (mac),macsoft,19.99,77,1565
DN2-00064,emedia intermediate guitar method os x,emedia,59.99,78,1561
DN2-00065,kaplan sat/act/psat express,topics entertainment,9.99,80,1539
DN2-00066,passwords plus 1.0,dataviz,29.99,81,1552
DN2-00067,emedia essential bass guitar,emedia,19.95,82,1544
DN2-00068,scratches: directors cut,got game,19.99,83,1581
DN2-00069,x3: reunion - virtual programming ltd.,csdc,39.95,84,1584
DN2-00070,emedia bass method win/mac,emedia,59.99,86,1566
DN2-00071,microsoft licenses project svr sa govt (h2200301),microsoft licenses,3601.4,87,1568
DN2-00072,total training for adobe creative suite 3: design premium bundle,total training,299.99,88,1571
DN2-00073,everquest: titanium,sony creative software,19.95,89,1575
DN2-00074,iriscard pro business card scanner,iris,199.99,91,1603
DN2-00075,computrace lojack for laptops - 4 year subscription,absolute software,119.99,92,1607
DN2-00076,warlords 3 (jewel case),red orb entertainment,11.95,94,1588
DN2-00077,autocad 2007 courseware customizing the interface,autodesk psg,47.95,95,1589
DN2-00078,tournament poker 2005,eagle games,20.99,97,1596
DN2-00079,cold zero: no mercy,encore software,19.99,98,1640
DN2-00080,listen for ipod - magnetic time,sos aggregation company,39.99,99,1638
DN2-00081,atari arcade classics (mac),macsoft,19.99,101,1628
DN2-00082,my sim aquarium,viva media,19.99,103,1618
DN2-00083,scrabble,destineer,24.99,104,1615
DN2-00084,instant immersion spanish (audio book),topics entertainment,23.61,105,1614
DN2-00085,cisco security server agent for windows and solaris - license - 100 agents - win solaris ( csa-b100-srvr-k9 ),cisco systems - enterprise,64821.43,106,1932
DN2-00086,photoshop elements 5 and premiere elements 3 bundle win minibox (29180248),adobe,242.62,107,1652
DN2-00087,buzby breakin' all the rules hermie and friends,digital praise,19.99,108,1651
DN2-00088,instant immersion french 2.0,topics entertainment,29.99,109,2159
DN2-00089,instant play electric guitar deluxe,topics entertainment,39.99,111,1648
DN2-00090,foreign policy & reform (win/mac) (jewel case),fogware publishing,9.99,112,1646
DN2-00091,microsoft licenses win svr 2003 ext conn lic (r3900292),microsoft licenses,3371.85,113,1644
DN2-00092,quickbooks pos: pro multistore 6.0,intuit inc.,1399.95,114,7
DN2-00093,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,115,1642
DN2-00094,cook'n vegetarian,dvo enterprises,19.99,116,1739
DN2-00095,hidden expedition: titanic,activision,19.99,117,1745
DN2-00096,crystal reports xi professional edition,business objects,495,118,1726
DN2-00097,sierra hallmark card studio special edition ( windows ),nova development,19.26,119,1729
DN2-00098,crusader kings,atari,19.99,120,1709
DN2-00099,microsoft licenses exch. srvr extrn conn sa eng (39400416),microsoft licenses,42166.22,121,1723
DN2-00100,watchguard serverlock manager (100 servers),watchguard technologies inc,14995,122,1679
DN2-00101,master server-upg,novastor corporation,174.99,123,1695
DN2-00102,tlc dr. seuss reading learning system 2008,encore,19.99,124,1792
DN2-00103,oxford spanish dictionary,oxford university press,19.95,126,1775
DN2-00104,pantone reference library,pantone inc.,1623.06,127,1780
DN2-00105,procurve vpn client software unlimited client licenses,hewlett packard,2598.96,128,1773
DN2-00106,microsoft licenses sps extrnlconnnonemplyenglands c (h3200034),microsoft licenses,101515.55,130,1749
DN2-00107,microspot interiors,microspot ltd.,99.95,131,1771
DN2-00108,adobe acrobat distiller svr v6-cd linux u/u ( 42050142 ),adobe systems,14967.47,143,1785
DN2-00109,gods: lands of infinity - special edition,strategy first,29.99,161,1458
DN2-00110,icopydvds2 ultra by digital wunders,global marketing partners,89.99,162,1459
DN2-00111,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99,163,1453
DN2-00112,sea scene: living underwater worlds (jewel case),valusoft,9.99,164,1454
DN2-00113,equilibrium debabelizer pro 6.0 - 1 user,equilibrium,599.99,166,1469
DN2-00114,autodesk discreet combustion 4 ( windows ),autodesk,889,168,2107
DN2-00115,reel deal casino quest,phantom efx,19.99,169,1466
DN2-00116,microsoft licenses word mac 10.0 eng govt (d4800369),microsoft licenses,349.83,171,1439
DN2-00117,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,175,1452
DN2-00118,instant immersion japanese (audio book),topics entertainment,19.95,176,1442
DN2-00119,world of warcraft 60 day pre-paid time card,blizzard entertainment,29.99,177,1448
DN2-00120,smart steps 4th grade,dorling kindersley multimedia (dk),29.95,178,1509
DN2-00121,ca arcserve bkup r11.5 win dro sp1 prod only,computer associates,431.16,179,1505
DN2-00122,textbridge pro 11,nuance communications inc.,79.99,180,1504
DN2-00123,emedia rock guitar method,emedia,39.99,181,1500
DN2-00124,home bartending - 101 shooters,arc media inc.,19.95,182,1518
DN2-00125,jumpstart reading with karaoke,knowledge adventure,29.99,183,1516
DN2-00126,iremember digital scrapbooking 2.0,intriguing development,39.95,185,1511
DN2-00127,learn2 training for microsoft powerpoint,topics entertainment - software (consignment),9.99,186,1481
DN2-00128,adobe acrobat distiller svr v6-cd sun 100u ( 42050106 ),adobe,9104.19,187,1479
DN2-00129,tomb raider: legend,eidos interactive,19.99,188,1476
DN2-00130,buku karkuro,topware interactive,19.99,192,1492
DN2-00131,backup exec 10d win adv disk v10.1 lic only (e180518),symantec corporation.,983.34,193,1487
DN2-00132,netmanage upg rumba unix-hp edition level ( 902453-007-c ),netmanage,147.73,199,65
DN2-00133,crystal reports 11 professional full product french,business objects,909.66,207,1488
DN2-00134,adobe illustrator cs3 upgrade from freehand [mac],adobe,199,216,483
DN2-00135,microsoft powerpoint 2004 (mac),microsoft,229.99,225,2239
DN2-00136,dora the explorer: dora's world adventures,activision,19.99,245,144
DN2-00137,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,,248,1592
DN2-00138,adobe after effects professional 7.0,adobe,999,250,2098
DN2-00139,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hewlett packard,1537.06,261,1460
DN2-00140,hp sp linux we 50 lic/cd 3.0c ( t3586a ),hewlett packard (consumables),69216.95,262,1099
DN2-00141,adobe photoshop cs3 extended [mac],adobe,999,264,262
DN2-00142,adobe indesign cs3 [mac],adobe,699,265,330
DN2-00143,intervideo dvd copy 5 platinum,corel,49.99,266,2298
DN2-00144,adobe photoshop elements 5.0/premier elements 3.0 [lb],adobe,149.99,267,2397
DN2-00145,world of rainbow fish,global software publishing,19.99,268,2941
DN2-00146,adobe audition 2.0,adobe,349,272,2257
DN2-00147,quickbooks credit card processing kit 3.0,intuit,39.95,273,8
DN2-00148,instant immersion italian 2.0,topics entertainment,29.99,274,2867
DN2-00149,instant immersion 33 languages,topics entertainment,49.99,276,2822
DN2-00150,the printshop 20,broderbund,29.99,279,2056
DN2-00151,sibelius 5 educational edition,sibelius software ltd.,329,284,2849
DN2-00152,weekly reader preparing for kindergarten,fogware publishing,19.99,285,2851
DN2-00153,my maillist & addressbook,mysoftware company,19.95,286,2840
DN2-00154,sibelius 5 professional edition,sibelius software ltd.,599,287,2845
DN2-00155,fisher-price rescue heroes: lava landslide,knowledge adventure,8.95,304,2806
DN2-00156,virusbarrier x4 10.4 for mac-10 users,intego,329.95,308,2915
DN2-00157,family tree maker version 16 deluxe,encore,69.95,309,2918
DN2-00158,instant architect design suite,imsi design,29.99,310,2919
DN2-00159,axis network camera 213 ptz - digital video camera ( 0220-004 ),axis communication inc.,1420.79,311,2920
DN2-00160,norton antivirus 2007,symantec,39.99,312,573
DN2-00161,f-secure internet security 2007 - 3 pcs,global marketing partners,79.99,316,2913
DN2-00162,poetry fiction and drama (win/mac) (jewel case),fogware publishing,9.99,319,2933
DN2-00163,quicken 2007 premier,intuit,79.95,320,2250
DN2-00164,route 66 mobile 7 - usa/cdn for windows mobile 5,csdc,149,321,2934
DN2-00165,adobe premiere pro 2.0,adobe,849,322,2135
DN2-00166,geometry (win/mac) (jewel case),fogware publishing,9.99,323,2922
DN2-00167,reader rabbit preschool,the learning company,29.99,324,1416
DN2-00168,cross stitch design studio (jewel case),m and r technologies,9.99,325,2925
DN2-00169,spy sweeper [lb],webroot software,29.99,332,2855
DN2-00170,adobe after effects 7.0 professional (mac),adobe,999,333,2118
DN2-00171,transfer my dvd,avanquest,29.95,334,2852
DN2-00172,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep ( 10548 ),encore software inc,17.97,335,2859
DN2-00173,mcafee internet security suite 2007 - 3 users,mcafee,89.99,346,2706
DN2-00174,jumpstart advanced 1st grade v2.0,knowledge adventure,19.99,347,2705
DN2-00175,microsoft office & windows training,topics entertainment,29.99,348,1545
DN2-00176,middle school success deluxe 2008,topics entertainment,49.99,349,2703
DN2-00177,adobe creative suite cs3 design standard upsell [mac],adobe,899,350,908
DN2-00178,is3 stopzilla 4.0 [stop spyware pop-ups id theft],roxio,29.95,351,2701
DN2-00179,pc vegas dvd,sony pictures home entertainment,899.99,352,2712
DN2-00180,zonealarm internet security suite,zone labs,49.99,354,2707
DN2-00181,ringtone media studio 2,laplink,19.95,355,2691
DN2-00182,print workshop 2007,valusoft,19.99,356,2690
DN2-00183,perfect attorney premium,cosmi corporation,39.99,357,2688
DN2-00184,adventure workshop 1st-3rd grade 8th edition,encore,19.99,358,2686
DN2-00185,fun for kids: preschool - kindergarten featuring disney,topics entertainment,29.99,359,2700
DN2-00186,national geographic photo gallery (jewel case),topics entertainment,9.99,361,2699
DN2-00187,sony psp media manager,sony computer entertainment,24.99,362,2698
DN2-00188,adobe premiere elements 3.0 [lb],adobe,99.99,363,2305
