_id,label,table1.id,table2.id,table1.title,table2.title,table1.manufacturer,table2.manufacturer,table1.price,table2.price
0,1,1017,2249,final draft scriptwriter's suite [final draft 7 & final draft av2],final-draft scriptwriter's suite 2.5 screenwriting software - mac/win screen writing software,final draft,,349.99,279.95
1,1,558,2062,h&r block taxcut 2006 premium federal,h&r block taxcut premium federal software for mac and windows tax & finance software,h&r block,,19.99,18.95
2,1,354,2707,zonealarm internet security suite,zonealarm internet security suite 2007 (pc) zonelabs,zone labs,,49.99,49.99
3,1,522,236,corel painter x win/mac,corel painter x,corel,,429,395.99
4,1,1196,533,micromat diskstudio ( mac),micromat inc. diskstudio,micromat,,99,43.36
5,1,1049,2002,pitstop pro 7.0 upgr - 6.x or higher,enfocus software pp7.0-ug-001 - pitstop pro 7.0 upgr - 6.x or higher,enfocus software,,199,171.97
6,1,624,2241,h&r block taxcut 2006 premium federal + state with usb 256m flashdrive,h&r block taxcut premium federal and state software for windows - usb tax & finance software,h&r block,,39.99,29.95
7,1,1342,592,learn to play keyboard (jewel case),alfred publishing inc learn to play keyboard,alfred publishing,,9.99,7.22
8,1,754,2550,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,microsoft 122-00411 - visual studio 2005 team edition for software testers with msdn premium subscription renewal - complete product - programming tool - standard - 1 user(s) - complete product - english - pc- free shipping,microsoft software,,2309,2069.97
9,1,1298,711,spycatcher 2007for pc,avanquest usa llc spycatcher 2007,avanquest,,19.99,17.5
10,1,418,2302,student home learning system for pc/mac,student home learning system,fogware publishing,,139.99,109.99
11,1,50,2039,clifford the big red dog - thinking adventures,clifford thinking,scholastic,,9.99,12.9
12,1,1247,458,galaxy of games 5000,egames. inc galaxy of games 5000 pack,2k games,,19.99,16.62
13,1,1234,515,prey,aspyr prey,aspyr media,,39.99,47.99
14,1,1157,2110,cakewalk sonar 6 studio,cakewalk sonar 6 studio edition software music production software,cakewalk,,369,279.95
15,1,470,2381,pro photo essentials plug in suite & iview mediapro 3,onone software inc. ppi-12005 - pro photo essentials plug in suite & iview mediapro 3,onone software,,499.95,450.97
16,1,503,380,corel wordperfect office 12 standard upgrade,corel corel word perfect office 12 upgrade,corel,,149.99,49.99
