id,title,manufacturer,price
amazon:0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
amazon:1,ca international arcserve lap/desktop oem 30pk,computer associates,
amazon:2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
amazon:3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
amazon:4,singing coach unlimited,carry-a-tune technologies,99.99
amazon:5,emc retrospect 7.5 disk to disk windows,dantz,
amazon:6,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99
amazon:7,acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance academic,399.54
amazon:8,mia 's math adventure : just in time,kutoka,19.99
amazon:9,disney 's 1st & 2nd grade bundle ( pixar 1st grade secret keys and aladdin reading quest ),disney,14.99
amazon:10,paper art : gift wrapping,arc-media-inc .,
amazon:11,nfs maestro solo 2006 1u,hummingbird communications,309.56
amazon:12,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0
amazon:13,spy sweeper spanish,webroot software,29.95
amazon:14,domino designer/developer v5 .0,lotus development,95.0
amazon:15,omnioutliner professional 3.0,csdc,69.95
amazon:16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,
amazon:17,upg sgms 1000 incremental node,sonic-systems-inc .,
amazon:18,the human body,topics entertainment,19.99
amazon:19,school zone pencil-pal software big phonics ( cd-rom & book ),school-zone-interactive,
amazon:20,millie 's math house ages 3-7 ( win/mac ),ibm - ( aap-misc-parts ),
amazon:21,world book encyclopedia 2006,topics entertainment,19.99
amazon:22,musicalis guitar workshop,global-software-publishing,9.99
amazon:23,the printshop 20 professional publisher,broderbund,69.99
amazon:24,data protection suite,stomp inc,69.99
amazon:25,kids power fun for girls,topics entertainment,19.99
amazon:26,adobe premiere pro cs3 upgrade,adobe,299.0
amazon:27,i copy dvds 2 professional edition,me-too-software,69.99
amazon:28,gen-x media made easy vol . 3,gen-x,49.95
amazon:29,family tree maker 11.2 collector 's edition,encore,109.95
amazon:30,adobe fireworks cs3 [ mac ],adobe,299.0
amazon:31,dinosaurs,topics entertainment,19.99
amazon:32,instant home design 3.0 [ lb ],topics entertainment,19.99
amazon:33,x-oom internet movies 2,x-oom,
amazon:34,form workshop 1200,valusoft,29.99
amazon:35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
amazon:36,stomp inc recover lost data 2005,stomp inc,39.95
amazon:37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95
amazon:38,the big mix ( mac ),aladdin,59.99
amazon:39,x-oom movie clone 3 gold,x-oom,
amazon:40,the print shop 22 deluxe,encore,49.99
amazon:41,imsi turbocad designer v. 11,imsi,39.99
amazon:42,lavasoft ad-aware plus edition,tri synergy,29.99
amazon:43,clip art and more 250 000 ( jewel case ),imsi design,
amazon:44,instant immersion language lab deluxe edition,topics entertainment,
amazon:45,elementary school success deluxe 2006,topics entertainment,49.99
amazon:46,national geographic presents : redshift planetarium,topics entertainment,29.99
amazon:47,math success deluxe 2006,topics entertainment,49.99
amazon:48,national geographic presents : forces of nature,topics entertainment,29.99
amazon:49,reference success deluxe 2006,topics entertainment,49.95
amazon:50,clifford the big red dog thinking adventures,scholastic,9.99
amazon:51,mastercook deluxe low carb,valusoft,14.99
amazon:52,instant home design ( jewel case ),topics entertainment,9.99
amazon:53,boomerang webshop platinum,boomerang,
amazon:54,allume boost xp for windows,smith-micro-software,29.99
amazon:55,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
amazon:56,kids power fun for little ones,topics entertainment,19.99
amazon:57,museums of the world,topics entertainment,19.99
amazon:58,matchbox cross-town heroes,thq,19.99
amazon:59,studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99
amazon:60,trudy 's time and place house ages 3-6,ibm,
amazon:61,personal image manager,smith-micro-software,29.99
amazon:62,stomp inc drive washer,stomp inc,
amazon:63,movies on psp,x-oom,
amazon:64,kids power fun for kids,topics entertainment,19.99
amazon:65,custom landdesigner 3d design 7.0,sierra on-line,
amazon:66,freddi fish 2 : the haunted schoolhouse,humongous entertainment,29.95
amazon:67,netgear vpn01l vpn client software,netgear,89.99
amazon:68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
amazon:69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
amazon:70,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,200.0
amazon:71,monarch v9 .0 1u .,datawatch,699.0
amazon:72,midway arcade treasures ( jewel case ),encore software,9.99
amazon:73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
amazon:74,mac os x server v10 .4.7 10-client,apple,499.0
amazon:75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
amazon:76,adobe acrobat capture 3.0 22101258 ),adobe,299.99
amazon:77,age of mythology ( mac ),macsoft,19.99
amazon:78,emedia intermediate guitar method os x,emedia,59.99
amazon:79,ca internet security suite 2007 3 user,computer associates,69.95
amazon:80,kaplan sat/act/psat express,topics entertainment,9.99
amazon:81,passwords plus 1.0,dataviz,29.99
amazon:82,emedia essential bass guitar,emedia,19.95
amazon:83,scratches : directors cut,got game,19.99
amazon:84,x3 : reunion virtual programming ltd.,csdc,39.95
amazon:85,write brothers dramatica pro win/mac,write brothers,269.99
amazon:86,emedia bass method win/mac,emedia,59.99
amazon:87,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4
amazon:88,total training for adobe creative suite 3 : design premium bundle,total training,299.99
amazon:89,everquest : titanium,sony-creative-software,19.95
amazon:90,emc retrospect 7.5 professional for windows upgrade,dantz,
amazon:91,iriscard pro business card scanner,iris,199.99
amazon:92,computrace lojack for laptops 4 year subscription,absolute software,119.99
amazon:93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98
amazon:94,warlords 3 ( jewel case ),red-orb-entertainment,
amazon:95,autocad 2007 courseware customizing the interface,autodesk psg,47.95
amazon:96,sonicwall internet upgrade ( 50-node ),sonicwall,
amazon:97,tournament poker 2005,eagle games,20.99
amazon:98,cold zero : no mercy,encore software,19.99
amazon:99,listen for ipod magnetic time,sos-aggregation-company,39.99
amazon:100,textbridge pro 11 5u license xp,nuance communications inc. .,
amazon:101,atari arcade classics ( mac ),macsoft,19.99
amazon:102,myinvoices & estimates deluxe,avanquest software,39.95
amazon:103,my sim aquarium,viva media,19.99
amazon:104,scrabble,destineer,24.99
amazon:105,instant immersion spanish ( audio book ),topics entertainment,
amazon:106,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systems-enterprise,
amazon:107,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62
amazon:108,buzby breakin ' all the rules hermie and friends,digital praise,19.99
amazon:109,instant immersion french 2.0,topics entertainment,29.99
amazon:110,hp digital sending secure license 50 users std,hewlett packard,
amazon:111,instant play electric guitar deluxe,topics entertainment,39.99
amazon:112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
amazon:114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95
amazon:115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95
amazon:116,cook 'n vegetarian,dvo enterprises,19.99
amazon:117,hidden expedition : titanic,activision,19.99
amazon:118,crystal reports xi professional edition,business objects,495.0
amazon:119,sierra hallmark card studio special edition windows ),nova development,
amazon:120,crusader kings,atari,19.99
amazon:121,microsoft licenses exch . srvr extrn conn sa eng ( 39400416 ),microsoft licenses,42166.22
amazon:122,watchguard serverlock manager ( 100 servers ),watchguard-technologies-inc,14995.0
amazon:123,master server-upg,novastor corporation,
amazon:124,tlc dr. seuss reading learning system 2008,encore,19.99
amazon:125,compaq comp . rapid deployment pk-flexible lic kit 302127-b21 ),compaq computer,
amazon:126,oxford spanish dictionary,oxford-university-press,19.95
amazon:127,pantone reference library,pantone inc.,1623.06
amazon:128,procurve vpn client software unlimited client licenses,hewlett packard,
amazon:129,oxford spanish dictionary,tri synergy,19.99
amazon:130,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55
amazon:131,microspot interiors,microspot ltd.,99.95
amazon:132,upgrade emc retrospect 7.5 multi server windows only,dantz,
amazon:133,snap enterprise data replicator advanced license for 10000 series,adaptec,
amazon:134,employee appraiser 5.0 deluxe mailer,global marketing,394.6
amazon:135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0
amazon:136,upgrade robohelp server 6 win ue 1u,adobe,3609.98
amazon:137,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,
amazon:138,sonicwall gms standard edition 10 node license,sonicwall,
amazon:139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0
amazon:140,retrospect 6.0 desktop mac upgrade,dantz,59.99
amazon:141,exceed 2007 with 1yr mnt 1u,hummingbird communications,650.0
amazon:142,ca brightstor arcserve backup r11 .1 for netware tape library option service pack,computer associates,
amazon:143,adobe acrobat distiller svr v6-cd linux u/u 42050142 ),adobe systems,
