_id,label,table1.id,table2.id,table1.title,table2.title,table1.manufacturer,table2.manufacturer,table1.price,table2.price
amazon:0,0,amazon:571,amazon:946,microsoft visio standard 2007 version upgrade,adobe cs3 design standard upgrade,microsoft,,129.95,413.99
amazon:1,0,amazon:574,amazon:2423,microsoft mappoint 2006 with gps,microsoft student with encarta premium 2008 complete package,microsoft,,349.0,43.6
amazon:2,0,amazon:250,amazon:2839,adobe after effects professional 7.0,adobe flash cs3 professional ( mac ),adobe,,999.0,699.0
amazon:3,1,amazon:1162,amazon:2109,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu digital performer dp5 software music production software,motu,,395.0,319.95
amazon:4,1,amazon:741,amazon:358,illustrator cs3 13 mac ed 1u,adobe illustrator cs3 for mac academic,adobe-education-box,adobe-education-box,199.0,199.99
amazon:5,0,amazon:396,amazon:1253,quickbooks premier non-profit edition 2005,quickbooks ( r ),intuit inc.,,499.95,199.99
amazon:6,0,amazon:513,amazon:989,mavis beacon typing 17 ( win/mac ),broderbund mavis beacon teaches typing standard17,encore software,,19.99,22.99
amazon:7,0,amazon:892,amazon:951,adobe premiere pro cs3,adobe soundbooth cs3 academic,adobe,,799.0,95.99
amazon:8,0,amazon:1229,amazon:1595,adobe photoshop cs2 advanced techniques by julieanne kost,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,software cinema,,,537.65
amazon:9,0,amazon:510,amazon:2845,reader rabbit learning system 1st grade,dr. seuss reading learning system 2008 encore,encore software,,29.99,19.95
amazon:10,0,amazon:26,amazon:521,adobe premiere pro cs3 upgrade,adobe cs3 design premium,adobe,,299.0,1865.99
amazon:11,0,amazon:1272,amazon:2438,punch ! home design architectural series 18,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,punch ! software,,129.99,45.97
amazon:12,0,amazon:808,amazon:313,3d home architect landscape designer v8,encore inc 3d home architect home design deluxe version 9,encore software,,29.99,25.49
amazon:13,0,amazon:135,amazon:1886,microsoft crm professional cal 3.0 product upgrade license pack user cal,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,microsoft software,,9980.0,9676.92
amazon:14,0,amazon:93,amazon:2959,microsoft office frontpage 2003 academic version windows ),microsoft windows vista business full version,microsoft,,159.98,249.95
amazon:15,0,amazon:1334,amazon:3188,adobe creative suite cs3 web standard,adobe creative suite 3 web standard complete package academic cd mac,adobe,,999.0,369.0
amazon:16,0,amazon:669,amazon:674,printmaster gold v 17.0,print master platinum v17,encore software,,19.99,29.9
amazon:17,0,amazon:632,amazon:2112,microsoft windows xp professional full version with sp2,adobe production premium cs3 software suite for windows professional editing software,microsoft,,299.99,1698.95
amazon:18,0,amazon:113,amazon:3117,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),microsoft licenses,,3371.85,719.04
amazon:19,0,amazon:753,amazon:2524,microsoft office & windows training professional,adobe after effects cs3 professional software for windows effects software,topics entertainment,,49.95,998.95
amazon:20,0,amazon:709,amazon:1548,dk smart steps 3rd grade,smart steps 4th grade ( jc ),global-software-publishing,dorling-kindersley-multimedia - ( dk ),9.99,11.95
amazon:21,0,amazon:604,amazon:915,microsoft office small business 2007 full version,microsoft office 2004 std upgrade,microsoft,,449.95,219.99
amazon:22,0,amazon:719,amazon:3106,best of card games ( jewel case ),geometry ( win/mac ) ( jewel case ) ( 10158 ),on-hand-software,,9.99,9.59
amazon:23,0,amazon:646,amazon:845,instant immersion german audio,topics entertainment instant immersion italian 2.0,topics entertainment,,,17.55
amazon:24,0,amazon:371,amazon:3183,microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) money 2004 standard,microsoft,,109.99,29.99
amazon:25,0,amazon:1182,amazon:2398,onone software pxl smartscale windows and macintosh ),onone software inc. mpr-40212,onone software,onone software inc.,,66.27
amazon:26,0,amazon:244,amazon:2803,microsoft visual studio team edition for software developers 2005 with msdn premium,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,,5479.0,549.0
amazon:27,1,amazon:587,amazon:2816,microsoft word 2007 version upgrade,microsoft word 2007 upgrade ( pc ),microsoft,,109.95,109.95
amazon:28,0,amazon:587,amazon:2474,microsoft word 2007 version upgrade,word mac 2004 upgrade microsoft d48-00488,microsoft,,109.95,97.36
amazon:29,0,amazon:562,amazon:3161,adobe dreamweaver cs3 upgrade [ mac ],adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,adobe,,199.0,859.96
amazon:30,1,amazon:809,amazon:2585,hoyle : classic collection 2006,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,encore,,19.99,18.97
amazon:31,0,amazon:1174,amazon:939,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe cs3 design premium academic,adobe,,199.0,575.99
amazon:32,0,amazon:72,amazon:3110,midway arcade treasures ( jewel case ),cross stitch design studio ( jewel case ) ( 8006 ),encore software,m-and-r-technologies,9.99,9.59
amazon:33,0,amazon:953,amazon:1510,digital vault,digital video & audio prod book,stompsoft inc.,sony-pictures-digital-entertainment,29.99,27.5
amazon:34,0,amazon:584,amazon:2518,microsoft windows vista business full version [ dvd ],microsoft powerpoint mac 2004 version upgrade,microsoft,,299.95,89.99
amazon:35,0,amazon:797,amazon:357,zero-g pro pack for garageband ( appleloops ),apple garageband jam pack : symphony orchestra,zero-g,,169.95,95.99
amazon:36,0,amazon:474,amazon:3091,microsoft asp net web matrix,microsoft ( r ) word 2007,microsoft,,30.0,109.99
amazon:37,0,amazon:554,amazon:3009,instant immersion german deluxe 2.0,instant immersion japanese 2.0,topics entertainment,,39.99,22.43
amazon:38,0,amazon:851,amazon:2765,punch ! professional home design platinum v10,punch software 41100 punch ! home design architectural series 18,punch ! software,punch software,99.0,118.99
amazon:39,0,amazon:554,amazon:2501,instant immersion german deluxe 2.0,instant immers french dlx 2,topics entertainment,,39.99,27.57
amazon:40,0,amazon:588,amazon:1865,adobe creative suite cs3 design standard [ mac ],19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,adobe,,1199.0,1691.87
amazon:41,0,amazon:251,amazon:1715,microsoft crm small business ed cal 3.0 license pack user cal,r18-00144 microsoft windows server license & software assurance 1 cal open business,microsoft software,,9929.0,41.58
amazon:42,0,amazon:804,amazon:2291,digidesign music production toolkit ( pro tools le ),apple/emagic logic pro 7.2 software music production software,digidesign,,495.0,999.0
amazon:43,0,amazon:1118,amazon:355,adobe creative suite cs3 master collection upsell,adobe cs3 after effects,adobe,,1999.0,1025.99
amazon:44,0,amazon:791,amazon:3039,hoyle kids ' games jc,hoyle card games,encore,,9.99,9.95
amazon:45,0,amazon:1138,amazon:894,net ad creator,laughingbird the logo creator,laughing bird,,39.99,34.99
amazon:46,1,amazon:1012,amazon:813,reel deal slots 2.0 for pc,phantom efx reel deal slots v 2.0,phantom efx,,9.99,7.36
amazon:47,0,amazon:1186,amazon:2393,adobe creative suite cs3 web standard [ mac ],adobe production premium cs3 software suite for mac av production software,adobe,,999.0,1698.95
amazon:48,0,amazon:139,amazon:1865,adobe creative suite cs3 design premium upsell [ mac ],19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,adobe,,1599.0,1691.87
amazon:49,0,amazon:550,amazon:2959,windows vista business spanish full version [ dvd ],microsoft windows vista business full version,microsoft,,329.95,249.95
amazon:50,0,amazon:114,amazon:1036,quickbooks pos : pro multistore 6.0,quickbooks ( r ) pro 2007 edition 3-user,intuit inc.,,1399.95,499.99
amazon:51,0,amazon:773,amazon:1182,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft ( r ) office word 2004 for mac full version,microsoft corporation,,,231.29
amazon:52,0,amazon:515,amazon:3048,instant immersion spanish deluxe 2.0,instant immersion italian 2.0,topics entertainment,topics entertainment,49.99,20.99
amazon:53,0,amazon:774,amazon:533,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe acrobat v8 .0 professional for mac,adobe software,,273.0,405.99
amazon:54,0,amazon:1111,amazon:2839,apple final cut studio 2 ( mac ),adobe flash cs3 professional ( mac ),apple,,1299.0,699.0
amazon:55,0,amazon:49,amazon:2045,reference success deluxe 2006,high school success deluxe 2006,topics entertainment,,49.95,7.9
amazon:56,0,amazon:496,amazon:3093,microsoft windows vista business 32-bit for system builders,microsoft ( r ) windows vista ( tm ) home basic,microsoft,,179.99,99.99
amazon:57,0,amazon:490,amazon:1075,microsoft visual studio professional 2005 upgrade,microsoft ( r ) excel 2007,microsoft software,,549.0,109.99
amazon:58,0,amazon:1242,amazon:1879,peachtree by sage premium accounting 2007,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,499.99,590.35
amazon:59,0,amazon:557,amazon:426,adobe creative suite cs3 production premium,adobe cs3 production premium upgrade,adobe,,1699.0,822.99
amazon:60,0,amazon:521,amazon:53,microsoft sql server developer edition 2005 cd/dvd,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,microsoft software,,49.95,6594.2
amazon:61,0,amazon:975,amazon:734,computrace lojack for laptops 1 year license ( mac ),lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,absolute software,,49.95,39.95
amazon:62,0,amazon:1176,amazon:2759,valuesoft tune transfer for ipod software for windows xp,pinnacle mobile media converter software for windows ipod software,valuesoft,,29.95,29.95
amazon:63,0,amazon:1148,amazon:3024,sibelius 4 professional edition,sibelius sibelius 5 software music production software,sibelius-software-ltd .,sibelius-software-ltd .,599.99,449.95
amazon:64,0,amazon:211,amazon:289,microsoft entertainment pack ce,entertainment partners ep budgeting for film,microsoft,,49.5,415.99
amazon:65,0,amazon:322,amazon:3032,adobe premiere pro 2.0,premiere pro cs3 mac upgrade,adobe,,849.0,320.25
amazon:66,0,amazon:271,amazon:959,microsoft office small business 2007,microsoft windows vista business retail no open box returns,microsoft software,,735.33,299.99
amazon:67,1,amazon:268,amazon:3128,world of rainbow fish,world of rainbow fish ( a9839m2h ),global-software-publishing,global-software-publishing,19.99,19.19
amazon:68,0,amazon:346,amazon:3095,mcafee internet security suite 2007 3 users,f-secure internet security 2007 3 pcs ( global marketing partners ),mcafee,global-marketing-partners,89.99,63.35
amazon:69,0,amazon:138,amazon:1819,sonicwall gms standard edition 10 node license,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,sonicwall,,,2124.92
amazon:70,0,amazon:523,amazon:1169,microsoft windows vista ultimate full version [ dvd ],microsoft ( r ) windows vista ( tm ) home premium,microsoft,,399.95,239.99
amazon:71,1,amazon:994,amazon:828,irispen express translator,iris inc irispen express translator,iris,,149.99,142.29
amazon:72,0,amazon:518,amazon:3029,microsoft office 2004 standard upgrade ( mac ),microsoft mappoint 2006 with gps locator ( pc ),microsoft,,239.99,349.99
amazon:73,0,amazon:553,amazon:1564,adobe indesign cs3 upgrade from pagemaker,adobe dreamweaver cs3 upgrade windows,adobe,,199.0,236.74
amazon:74,0,amazon:225,amazon:3199,microsoft powerpoint 2004 ( mac ),microsoft ( r ) office ultimate 2007,microsoft,,229.99,539.95
amazon:75,0,amazon:951,amazon:533,microspot macdraft professional ( mac ),adobe acrobat v8 .0 professional for mac,microspot ltd.,,349.99,405.99
amazon:76,0,amazon:157,amazon:1135,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe photoshop cs3 extended complete package 1 user academic cd mac,adobe systems inc,,,279.0
amazon:77,1,amazon:1299,amazon:697,snap ! spelling ( jewel case ),spelling,topics entertainment,,19.95,4.93
amazon:78,0,amazon:137,amazon:1758,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,netmanage,,,4746.16
amazon:79,0,amazon:355,amazon:793,zonealarm internet security suite,panda software panda internet security 2007,zone labs,,49.99,69.99
amazon:80,0,amazon:1136,amazon:3185,mediafour macdrive 6 for windows,quark quarkxpress 7 upgrade for mac & windows,mediafour corporation,,49.99,244.99
amazon:81,0,amazon:1177,amazon:1163,microsoft office student and teacher edition 2004 macintosh,microsoft ( r ) office 2004 for mac student and teacher edition,microsoft,,149.99,146.95
amazon:82,1,amazon:571,amazon:3027,microsoft visio standard 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,129.95,129.95
amazon:83,0,amazon:320,amazon:3063,quicken 2007 premier,quickbooks pro 2007 3 user,intuit,intuit,79.95,398.99
amazon:84,0,amazon:518,amazon:3091,microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) word 2007,microsoft,,239.99,109.99
amazon:85,0,amazon:1242,amazon:1385,peachtree by sage premium accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,499.99,106.29
amazon:86,0,amazon:572,amazon:192,adobe dreamweaver cs3 upgrade,adobe cs3 flash professional upgrade,adobe,,199.0,205.99
amazon:87,1,amazon:457,amazon:2622,national geographic presents : redshift 5 planetarium software,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),topics entertainment,,39.99,39.99
amazon:88,0,amazon:40,amazon:2067,the print shop 22 deluxe,encore software 11941 the print shop zoom,encore,,49.99,17.97
amazon:89,0,amazon:934,amazon:2999,panda antivirus 2007,norton antivirus 2007 3 user pack,panda software,,29.95,49.95
amazon:90,0,amazon:736,amazon:367,adobe creative suite cs3 production premium upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,799.0,145.99
amazon:91,0,amazon:990,amazon:2172,power production storyboard artist 4,power production storyboard quick 5 software for mac and windows animation software,power production,,,299.0
amazon:92,0,amazon:661,amazon:566,adobe cs3 design standard macosx dvd,adobe cs3 web standard,adobe,,399.0,1035.99
amazon:93,0,amazon:1242,amazon:1273,peachtree by sage premium accounting 2007,peachtree ( r ) compatible continuous checks-office accounting 12.0,sage software,,499.99,91.59
amazon:94,0,amazon:592,amazon:897,adobe after effects cs3 upgrade,adobe contribute cs3 upgrade,adobe,,299.0,82.99
amazon:95,0,amazon:551,amazon:1757,symc backup exec sbs aws 11d win sbs agent for windows systems,10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,symantec,,447.74,644.84
amazon:96,0,amazon:763,amazon:3116,station access collection,ultimate puzzle collection,sony-creative-software,,29.99,9.95
amazon:97,0,amazon:371,amazon:1514,microsoft powerpoint 2004 upgrade ( mac ),microsoft windows vista home basic upgrade ( pc ),microsoft,,109.99,99.99
amazon:98,0,amazon:1145,amazon:2816,microsoft office 2004 standard ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,399.99,109.95
amazon:99,0,amazon:105,amazon:3016,instant immersion spanish ( audio book ),instant immers italian dlux 2 .,topics entertainment,,,36.11
amazon:100,0,amazon:1098,amazon:1248,rollercoaster tycoon 3 ( mac ),roller coaster tycoon 3 for pc,aspyr media,,49.99,29.99
amazon:101,0,amazon:1246,amazon:199,peachtree by sage complete accounting 2007,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,269.99,1180.37
amazon:102,0,amazon:918,amazon:2602,recam remote monitoring software,corel ulead dvd workshop 2 authoring software,mobi-technologies-inc .,,129.0,299.95
amazon:103,0,amazon:586,amazon:2112,quickbooks premier professional services edition 2007,adobe production premium cs3 software suite for windows professional editing software,intuit,,399.95,1698.95
amazon:104,1,amazon:1011,amazon:807,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple,apple software,199.99,149.0
amazon:105,0,amazon:947,amazon:1685,britannica deluxe,britannica deluxe 2008,avanquest software,,29.95,26.5
amazon:106,0,amazon:369,amazon:2089,tlc arthur 's kindergarten learning system 2008,encore software 13871 tlc reader rabbit 1st grade learning system 2008,encore,,19.99,17.97
amazon:107,0,amazon:283,amazon:3106,tonka town ( jewel case ),geometry ( win/mac ) ( jewel case ) ( 10158 ),atari,,9.99,9.59
amazon:108,0,amazon:1269,amazon:2926,punch 5 in 1 home design,punch software 41100 punch ! home design architectural series 18,punch ! software,punch software,39.99,118.99
amazon:109,0,amazon:412,amazon:950,adobe creative suite cs3 web premium upsell [ mac ],adobe cs3 master collection upsell from cs1,adobe,,1399.0,2054.99
amazon:110,0,amazon:741,amazon:2860,illustrator cs3 13 mac ed 1u,adobe illustrator cs3 ( mac ),adobe-education-box,,199.0,599.0
amazon:111,1,amazon:584,amazon:2818,microsoft windows vista business full version [ dvd ],microsoft windows vista business ( pc ),microsoft,,299.95,299.99
amazon:112,0,amazon:925,amazon:2804,instant play guitar deluxe v2 .,instant immersion spanish deluxe 2.0 topics,topics entertainment,,39.48,39.99
amazon:113,0,amazon:662,amazon:2513,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,microsoft,669.0,688.99
